lemma,part_of_speech,antonyms
a la carte,adjective,table d'hote
a posteriori,adjective,a priori
a priori,adjective,a posteriori
abactinal,adjective,actinal
abaxial,adjective,adaxial
abducent,adjective,adducent
abducting,adjective,adducent
abient,adjective,adient
able,adjective,unable
abnormal,adjective,normal|normal
aboral,adjective,oral
aboriginal,adjective,nonnative
abranchial,adjective,branchiate
abranchiate,adjective,branchiate
abranchious,adjective,branchiate
abridged,adjective,unabridged
absent,adjective,present
absolute,adjective,relative
absorbable,adjective,adsorbable
absorbent,adjective,nonabsorbent
absorptive,adjective,nonabsorbent
abstemious,adjective,gluttonous
abstract,adjective,concrete
abundant,adjective,scarce
abused,adjective,unabused
acarpellous,adjective,carpellate
acarpelous,adjective,carpellate
acatalectic,adjective,catalectic
acaudal,adjective,caudate
acaudate,adjective,caudate
acaulescent,adjective,caulescent
accented,adjective,atonic|unstressed
accentual,adjective,quantitative
acceptable,adjective,unacceptable
acceptive,adjective,rejective
accessible,adjective,inaccessible
accommodating,adjective,unaccommodating
accommodative,adjective,unaccommodating
accompanied,adjective,unaccompanied|unaccompanied
accordant,adjective,discordant
accurate,adjective,inaccurate
accusatorial,adjective,inquisitorial
accustomed,adjective,unaccustomed
acellular,adjective,cellular
achlamydeous,adjective,chlamydeous
achondritic,adjective,chondritic
achromatic,adjective,chromatic
achromatinic,adjective,chromatinic
acid-loving,adjective,alkaline-loving
acidic,adjective,alkaline
acknowledged,adjective,unacknowledged
acquisitive,adjective,unacquisitive
acrocarpous,adjective,pleurocarpous
acropetal,adjective,basipetal
acroscopic,adjective,basiscopic
actable,adjective,unactable
actinal,adjective,abactinal
actinomorphic,adjective,zygomorphic
actinomorphous,adjective,zygomorphic
active,adjective,inactive|passive|inactive|inactive|inactive|quiet|passive|stative|extinct|dormant|inactive
actual,adjective,potential
acute,adjective,chronic|obtuse
acyclic,adjective,cyclic|cyclic
adaptable,adjective,unadaptable
adaptative,adjective,maladaptive
adaptive,adjective,maladaptive
adaxial,adjective,abaxial
addicted,adjective,unaddicted
addictive,adjective,nonaddictive
additive,adjective,nonlinear|subtractive
