lemma,part_of_speech,antonyms
a la carte,adjective,table d'hote
a posteriori,adjective,a priori
a posteriori,adverb,a priori
a priori,adjective,a posteriori
a priori,adverb,a posteriori
abactinal,adjective,actinal
abaxial,adjective,adaxial
abbreviated,verb,expand
abducent,adjective,adducent
abducting,verb,adduct
abducting,adjective,adducent
abient,adjective,adient
able,adjective,unable
abnormal,adjective,normal
aboral,adjective,oral
aboriginal,adjective,nonnative
above,adverb,below
aboveboard,adverb,dishonestly
abranchial,adjective,branchiate
abranchiate,adjective,branchiate
abranchious,adjective,branchiate
abridged,verb,expand
abridged,adjective,unabridged
absent,adjective,present
absolute,adjective,relative
absolved,verb,blame
absorbable,adjective,adsorbable
absorbed,verb,emit
absorbent,adjective,nonabsorbent
absorbing,verb,emit
absorptive,adjective,nonabsorbent
abstemious,adjective,gluttonous
abstinent,noun,drinker
abstract,adjective,concrete
abundant,adjective,scarce
abused,adjective,unabused
acarpellous,adjective,carpellate
acarpelous,adjective,carpellate
acatalectic,adjective,catalectic
acaudal,adjective,caudate
acaudate,adjective,caudate
acaulescent,adjective,caulescent
accelerated,verb,decelerate
accented,adjective,atonic
accentual,adjective,quantitative
acceptable,adjective,unacceptable
accepted,verb,reject
accepting,verb,reject
acceptive,adjective,rejective
accessible,adjective,inaccessible
accommodating,verb,disoblige
accommodating,adjective,unaccommodating
accommodative,adjective,unaccommodating
accompanied,adjective,unaccompanied
accordant,adjective,discordant
accurate,adjective,inaccurate
accusatorial,adjective,inquisitorial
accustomed,adjective,unaccustomed
acellular,adjective,cellular
achlamydeous,adjective,chlamydeous
achondritic,adjective,chondritic
achromatic,adjective,chromatic
achromatinic,adjective,chromatinic
acid-loving,adjective,alkaline-loving
acidic,adjective,alkaline
acknowledged,verb,deny
acknowledged,adjective,unacknowledged
acquired,verb,lose
acquisitive,adjective,unacquisitive
acquitted,verb,convict
acrocarpous,adjective,pleurocarpous
acropetal,adjective,basipetal
acroscopic,adjective,basiscopic
actable,adjective,unactable
actinal,adjective,abactinal
acting,verb,refrain
actinomorphic,adjective,zygomorphic
actinomorphous,adjective,zygomorphic
