lemma,part_of_speech,antonyms,type
abactinal,adjective,actinal,animal
abducent,adjective,adducent,hobby
abducting,adjective,adducent,hobby
abient,adjective,adient,hobby
able,adjective,unable,country
aboriginal,adjective,nonnative,human country
absorbent,adjective,nonabsorbent,country
absorptive,adjective,nonabsorbent,country
acceptable,adjective,unacceptable,industry
active,adjective,inactive|passive|inactive|inactive|inactive|quiet|passive|stative|extinct|dormant|inactive,country hobby
adaptative,adjective,maladaptive,country
adaptive,adjective,maladaptive,country
addressed,adjective,unaddressed,country
adducent,adjective,abducent,hobby
adducting,adjective,abducent,hobby
adductive,adjective,abducent,hobby
adjusted,adjective,unadjusted|maladjusted,human
adscript,adjective,superscript,human
adsorbent,adjective,nonadsorbent,country
adsorptive,adjective,nonadsorbent,country
affected,adjective,unaffected|unaffected|unmoved,human
afloat,adjective,aground,landscape
afraid,adjective,unafraid,country
aggressive,adjective,unaggressive,country
agitated,adjective,unagitated|unagitated,human
altruistic,adjective,egoistic,animal
amphibious,adjective,aquatic,animal
ample,adjective,meager,country
anaclinal,adjective,cataclinal,landscape
anal,adjective,oral,country
anestrous,adjective,estrous,animal country
animate,adjective,inanimate|inanimate|insentient,animal
antagonistic,adjective,conciliatory|synergistic,institution
approachable,adjective,unapproachable,establishment
appropriate,adjective,inappropriate,human
armed,adjective,unarmed|armless|unarmed,human animal country
armored,adjective,unarmored|unarmored,human animal landscape
armoured,adjective,unarmored|unarmored,human animal landscape
artless,adjective,disingenuous|artful,human
asleep,adjective,awake,country
associative,adjective,nonassociative,country
associatory,adjective,nonassociative,country
asymmetric,adjective,symmetrical,industry
asymmetrical,adjective,symmetrical,industry
atonal,adjective,tonal,hobby
attached,adjective,detached|unattached,institution
automatic,adjective,manual,human
awake,adjective,asleep,country
awful,adjective,nice,human
back,adjective,front,animal
backward,adjective,forward|forward,human
balanced,adjective,unbalanced,country
bare,adjective,sheathed|covered,landscape
barreled,adjective,unbarreled,establishment
barrelled,adjective,unbarreled,establishment
beautiful,adjective,ugly,human
bellied,adjective,bellyless,country
big,adjective,small|little,animal
bigger,adjective,small|little,animal
bipolar,adjective,unipolar,country
bloodless,adjective,bloody,human
bloody,adjective,bloodless,landscape
bodied,adjective,unbodied,country
bound,adjective,unbound|free|unbound,landscape institution
brainwashed,adjective,unbrainwashed,country
breathing,adjective,breathless,country
bridgeable,adjective,unbridgeable,landscape
broad,adjective,narrow,country
broadnosed,adjective,catarrhine,human
broken,adjective,unbroken|unbroken|unbroken,country
bumpy,adjective,smooth,landscape
capable,adjective,incapable|incapable,country
carnivorous,adjective,herbivorous,animal
carpeted,adjective,uncarpeted,country landscape
castrated,adjective,uncastrated,country
