positive,negative
The boy is aboriginal,The boy is nonnative
The girl is aboriginal,The girl is nonnative
The parent is aboriginal,The parent is nonnative
The grandchild is aboriginal,The grandchild is nonnative
The grandparent is aboriginal,The grandparent is nonnative
The child is aboriginal,The child is nonnative
The teenager is aboriginal,The teenager is nonnative
The adult is aboriginal,The adult is nonnative
The boy is adjusted,The boy is unadjusted
The girl is adjusted,The girl is unadjusted
The parent is adjusted,The parent is unadjusted
The grandchild is adjusted,The grandchild is unadjusted
The grandparent is adjusted,The grandparent is unadjusted
The child is adjusted,The child is unadjusted
The teenager is adjusted,The teenager is unadjusted
The adult is adjusted,The adult is unadjusted
The boy is adjusted,The boy is maladjusted
The girl is adjusted,The girl is maladjusted
The parent is adjusted,The parent is maladjusted
The grandchild is adjusted,The grandchild is maladjusted
The grandparent is adjusted,The grandparent is maladjusted
The child is adjusted,The child is maladjusted
The teenager is adjusted,The teenager is maladjusted
The adult is adjusted,The adult is maladjusted
The boy is adscript,The boy is superscript
The girl is adscript,The girl is superscript
The parent is adscript,The parent is superscript
The grandchild is adscript,The grandchild is superscript
The grandparent is adscript,The grandparent is superscript
The child is adscript,The child is superscript
The teenager is adscript,The teenager is superscript
The adult is adscript,The adult is superscript
The boy is affected,The boy is unaffected
The girl is affected,The girl is unaffected
The parent is affected,The parent is unaffected
The grandchild is affected,The grandchild is unaffected
The grandparent is affected,The grandparent is unaffected
The child is affected,The child is unaffected
The teenager is affected,The teenager is unaffected
The adult is affected,The adult is unaffected
The boy is affected,The boy is unaffected
The girl is affected,The girl is unaffected
The parent is affected,The parent is unaffected
The grandchild is affected,The grandchild is unaffected
The grandparent is affected,The grandparent is unaffected
The child is affected,The child is unaffected
The teenager is affected,The teenager is unaffected
The adult is affected,The adult is unaffected
The boy is affected,The boy is unmoved
The girl is affected,The girl is unmoved
The parent is affected,The parent is unmoved
The grandchild is affected,The grandchild is unmoved
The grandparent is affected,The grandparent is unmoved
The child is affected,The child is unmoved
The teenager is affected,The teenager is unmoved
The adult is affected,The adult is unmoved
The boy is agitated,The boy is unagitated
The girl is agitated,The girl is unagitated
The parent is agitated,The parent is unagitated
The grandchild is agitated,The grandchild is unagitated
The grandparent is agitated,The grandparent is unagitated
